ticker,name,sector
ANZ.AX,ANZ Group Holdings Limited,Financials
AGL.AX,AGL Energy Limited,Utilities
ALD.AX,Ampol Limited,Energy
ALL.AX,Aristocrat Leisure Limited,Consumer Discretionary
ALQ.AX,ALS Limited,Industrials
ALU.AX,Altium Limited,Technology
AMC.AX,Amcor plc,Materials
AMP.AX,AMP Limited,Financials
APE.AX,Eagers Automotive Limited,Consumer Discretionary
APX.AX,Appen Limited,Technology
ARB.AX,ARB Corporation Limited,Consumer Discretionary
ASX.AX,ASX Limited,Financials
AUB.AX,AUB Group Limited,Financials
AWC.AX,Alumina Limited,Materials
AZJ.AX,Aurizon Holdings Limited,Industrials
BAP.AX,Bapcor Limited,Consumer Discretionary
BEN.AX,Bendigo and Adelaide Bank Limited,Financials
BHP.AX,BHP Group Limited,Materials
BOE.AX,Boss Energy Limited,Energy
BOQ.AX,Bank of Queensland Limited,Financials
BPT.AX,Beach Energy Limited,Energy
BRG.AX,Breville Group Limited,Consumer Discretionary
BSL.AX,BlueScope Steel Limited,Materials
BWP.AX,BWP Trust,Real Estate
CAR.AX,CAR Group Limited,Communication Services
CBA.AX,Commonwealth Bank of Australia,Financials
CCX.AX,City Chic Collective Limited,Consumer Discretionary
CDD.AX,Cardno Limited,Industrials
CGF.AX,Challenger Limited,Financials
CHC.AX,Charter Hall Group,Real Estate
CIP.AX,Centuria Industrial REIT,Real Estate
CKF.AX,Collins Foods Limited,Consumer Discretionary
CLW.AX,Charter Hall Long WALE REIT,Real Estate
CMW.AX,Cromwell Property Group,Real Estate
COH.AX,Cochlear Limited,Health Care
COL.AX,Coles Group Limited,Consumer Staples
CPU.AX,Computershare Limited,Technology
CQR.AX,Charter Hall Retail REIT,Real Estate
CSL.AX,CSL Limited,Health Care
CSR.AX,CSR Limited,Materials
CWY.AX,Cleanaway Waste Management Limited,Industrials
DMP.AX,Domino's Pizza Enterprises Limited,Consumer Discretionary
DOW.AX,Downer EDI Limited,Industrials
DXS.AX,Dexus,Real Estate
EBO.AX,Ebos Group Limited,Health Care
EDV.AX,Endeavour Group Limited,Consumer Staples
ELD.AX,Elders Limited,Consumer Staples
EML.AX,EML Payments Limited,Technology
EVN.AX,Evolution Mining Limited,Materials
FBU.AX,Fletcher Building Limited,Materials
FLT.AX,Flight Centre Travel Group Limited,Consumer Discretionary
FMG.AX,Fortescue Limited,Materials
FPH.AX,Fisher & Paykel Healthcare Corporation Limited,Health Care
GEM.AX,G8 Education Limited,Consumer Discretionary
