ticker,name,sector
ABX.TO,Barrick Gold Corporation,Materials
AC.TO,Air Canada,Industrials
AEM.TO,Agnico Eagle Mines Limited,Materials
AGI.TO,Alamos Gold Inc.,Materials
ALA.TO,AltaGas Ltd.,Utilities
AQN.TO,Algonquin Power & Utilities Corp.,Utilities
ARX.TO,Arc Resources Ltd.,Energy
ATD.TO,Alimentation Couche-Tard Inc.,Consumer Staples
BAM.TO,Brookfield Asset Management Ltd.,Financials
BBC.TO,Big Banc Split Corp.,Financials
BCE.TO,BCE Inc.,Communication Services
BHC.TO,Bausch Health Companies Inc.,Health Care
BN.TO,Brookfield Corporation,Financials
BNS.TO,Bank of Nova Scotia,Financials
BR.TO,Big Rock Brewery Inc.,Consumer Staples
BTE.TO,Baytex Energy Corp.,Energy
CAE.TO,CAE Inc.,Industrials
CAR-UN.TO,Canadian Apartment Properties Real Estate Investment Trust,Real Estate
CCO.TO,Cameco Corporation,Energy
CCL-B.TO,CCL Industries Inc.,Materials
CHP-UN.TO,Choice Properties Real Estate Investment Trust,Real Estate
CIX.TO,CI Financial Corp.,Financials
CM.TO,Canadian Imperial Bank of Commerce,Financials
CNQ.TO,Canadian Natural Resources Limited,Energy
CNR.TO,Canadian National Railway Company,Industrials
CP.TO,Canadian Pacific Kansas City Limited,Industrials
CPG.TO,Crescent Point Energy Corp.,Energy
CTC-A.TO,Canadian Tire Corporation Limited,Consumer Discretionary
CVE.TO,Cenovus Energy Inc.,Energy
DGC.TO,Detour Gold Corporation,Materials
DOL.TO,Dollarama Inc.,Consumer Discretionary
EMA.TO,Emera Incorporated,Utilities
ENB.TO,Enbridge Inc.,Energy
EQB.TO,EQB Inc.,Financials
FFH.TO,Fairfax Financial Holdings Limited,Financials
FNV.TO,Franco-Nevada Corporation,Materials
FTS.TO,Fortis Inc.,Utilities
GIB-A.TO,CGI Inc.,Technology
GWO.TO,Great-West Lifeco Inc.,Financials
H.TO,Hydro One Limited,Utilities
IAG.TO,iA Financial Corporation Inc.,Financials
IFC.TO,Intact Financial Corporation,Financials
IMO.TO,Imperial Oil Limited,Energy
K.TO,Kinross Gold Corporation,Materials
L.TO,Loblaw Companies Limited,Consumer Staples
MFC.TO,Manulife Financial Corporation,Financials
MG.TO,Magna International Inc.,Consumer Discretionary
MRU.TO,Metro Inc.,Consumer Staples
NA.TO,National Bank of Canada,Financials
NTR.TO,Nutrien Ltd.,Materials
NXE.TO,NexGen Energy Ltd.,Energy
OTEX.TO,Open Text Corporation,Technology
PBH.TO,Premium Brands Holdings Corporation,Consumer Staples
POW.TO,Power Corporation of Canada,Financials
PPL.TO,Pembina Pipeline Corporation,Energy
QBR-B.TO,Quebecor Inc.,Communication Services
RCI-B.TO,Rogers Communications Inc.,Communication Services
RY.TO,Royal Bank of Canada,Financials
SAP.TO,Saputo Inc.,Consumer Staples
SHOP.TO,Shopify Inc.,Technology
SLF.TO,Sun Life Financial Inc.,Financials
SNC.TO,SNC-Lavalin Group Inc.,Industrials
SU.TO,Suncor Energy Inc.,Energy
T.TO,TELUS Corporation,Communication Services
TD.TO,Toronto-Dominion Bank,Financials
TECK-B.TO,Teck Resources Limited,Materials
TRP.TO,TC Energy Corporation,Energy
WCN.TO,Waste Connections Inc.,Industrials
WFG.TO,West Fraser Timber Co. Ltd.,Materials
WN.TO,George Weston Limited,Consumer Staples
WPM.TO,Wheaton Precious Metals Corp.,Materials
X.TO,TMX Group Limited,Financials
